Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,10,0.9099999999999999,0.9099999999999999,0.4005415225113601
75% Corpus,10,0.9099999999999999,symmetric,0.36401265410468997
75% Corpus,10,symmetric,0.01,0.43954228056801303
75% Corpus,10,symmetric,0.31,0.3970452712676876
75% Corpus,10,symmetric,0.61,0.4566035281928805
75% Corpus,10,symmetric,0.9099999999999999,0.5390374153140488
75% Corpus,10,symmetric,symmetric,0.44065457445636325
75% Corpus,10,asymmetric,0.01,0.45050834506942994
75% Corpus,10,asymmetric,0.31,0.4631878350389213
75% Corpus,10,asymmetric,0.61,0.5857276368927422
75% Corpus,10,asymmetric,0.9099999999999999,0.644418013505138
75% Corpus,10,asymmetric,symmetric,0.47773967045911536
100% Corpus,2,0.01,0.01,0.4341050279983494
100% Corpus,2,0.01,0.31,0.43683258828758353
100% Corpus,2,0.01,0.61,0.43743149501281064
100% Corpus,2,0.01,0.9099999999999999,0.4261818666511199
100% Corpus,2,0.01,symmetric,0.43743149501281064
100% Corpus,2,0.31,0.01,0.4369787507721257
100% Corpus,2,0.31,0.31,0.4251596963362423
100% Corpus,2,0.31,0.61,0.4723744609004003
100% Corpus,2,0.31,0.9099999999999999,0.44884844317301453
100% Corpus,2,0.31,symmetric,0.41578228659449734
100% Corpus,2,0.61,0.01,0.4411804343745382
100% Corpus,2,0.61,0.31,0.43051412240472836
100% Corpus,2,0.61,0.61,0.4637365288836806
100% Corpus,2,0.61,0.9099999999999999,0.44649641251393946
100% Corpus,2,0.61,symmetric,0.44787790637330493
100% Corpus,2,0.9099999999999999,0.01,0.42055773884658065
100% Corpus,2,0.9099999999999999,0.31,0.4347402565385545
100% Corpus,2,0.9099999999999999,0.61,0.44300896561345493
100% Corpus,2,0.9099999999999999,0.9099999999999999,0.4632335745732868
100% Corpus,2,0.9099999999999999,symmetric,0.43051412240472836
100% Corpus,2,symmetric,0.01,0.4353263821541369
100% Corpus,2,symmetric,0.31,0.4305141224047284
100% Corpus,2,symmetric,0.61,0.4649015266538927
100% Corpus,2,symmetric,0.9099999999999999,0.44649641251393946
100% Corpus,2,symmetric,symmetric,0.43889099306351687
100% Corpus,2,asymmetric,0.01,0.4406920955944128
100% Corpus,2,asymmetric,0.31,0.41728477848912277
100% Corpus,2,asymmetric,0.61,0.4624783414900912
100% Corpus,2,asymmetric,0.9099999999999999,0.42085407914945894
100% Corpus,2,asymmetric,symmetric,0.4281605831444438
